s1,TV Show,3%,,Brazil,14/08/20,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s2,Movie,7:19,Jorge Michel Grau,Mexico,23/12/16,"Dramas, International Movies"
s3,Movie,23:59,Gilbert Chan,Singapore,20/12/18,"Horror Movies, International Movies"
s4,Movie,9,Shane Acker,United States,16/11/17,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
s5,Movie,21,Robert Luketic,United States,01/01/20,Dramas
s6,TV Show,46,Serdar Akar,Turkey,01/07/17,"International TV Shows, TV Dramas, TV Mysteries"
s7,Movie,122,Yasir Al Yasiri,Egypt,01/06/20,"Horror Movies, International Movies"
s8,Movie,187,Kevin Reynolds,United States,01/11/19,Dramas
s9,Movie,706,Shravan Kumar,India,01/04/19,"Horror Movies, International Movies"
s10,Movie,1920,Vikram Bhatt,India,,"Horror Movies, International Movies, Thrillers"
